domain,country,kind,name,verdict,platform_key,richness,products,crawl_delay,category_url,feed,scope
coffeein.sk,SK,roaster,COFFEEIN,allowed,custom,high,"117 (label ""Čerstvo pražená zrnková káva (117 produktov)"")",none,https://www.coffeein.sk/kategoria/2/cerstvo-prazena-zrnkova-kava/1/,"https://www.coffeein.sk/sitemap.xml (plain <urlset>, includes /detail/ product URLs; not declared in robots.txt)",primary
zlatezrnko.sk,SK,roaster,Zlaté Zrnko,allowed,woocommerce,medium,"109 (""Zobrazených 1–24 z 109 výsledkov""; subcategory labels 79/81/11/12 produktov)",none,https://zlatezrnko.sk/kategoria/kava/,"https://zlatezrnko.sk/sitemap_index.xml (Yoast-style index, declared in robots; product sitemap inside it) — not fetched",primary
ebenica.sk,SK,roaster,Ebenica Coffee,partially_restricted,woocommerce,high,"27 (""Zobrazených 1–12 z 27 výsledkov"")",none,https://ebenica.sk/kava/,https://ebenica.sk/sitemaps.xml (declared in robots) — not fetched,primary
goriffee.com,SK,roaster,Goriffee Roastery,allowed,woocommerce,high,"43 overall (""Zobrazené produkty: 1 - 30 (celkom 43)""), coffee subsets shown as 9-product groups",none,https://www.goriffee.com/produkty/,https://www.goriffee.com/sitemap_index.xml (declared in robots) — not fetched,primary
gpkava.sk,SK,roaster,Green Plantation,partially_restricted,upgates,low,"~45-50 in Čerstvá káva (12 products per page, pagination to at least page 4); subcategories zrnkova-kava-na-espresso / na-filter / kavove-zmesi / zelena-kava",none,https://www.gpkava.sk/cerstva-kava,"none found beyond https://www.gpkava.sk/sitemap.xml (declared in robots; not fetched). Upgates shops typically expose XML feeds but none was advertised, and no brute-forcing was done.",primary
kafe.sk,SK,roaster,Barzzuz,allowed,custom,low,"15 shown per page (data-per-page=""15"", AJAX paging, no total label); sitemap.xml lists 201 /p/ product URLs in total, 81 of which have 'kava' in the slug — so roughly 80-150 coffee SKUs across /c/kava and its subcategories",15,https://www.kafe.sk/c/kava,none found (only page sitemap + image sitemap; no XML/JSON product feed advertised),primary
9gramscoffee.sk,SK,roaster,9 Grams Coffee,allowed,wix,low,"6 store products total (store-products-sitemap.xml has 6 <loc> entries, mostly green/zelená káva lots)",none for User-agent: * (Crawl-delay: 10 only for dotbot and AhrefsBot),https://www.9gramscoffee.sk/ (homepage; store products enumerated via https://www.9gramscoffee.sk/store-products-sitemap.xml),https://www.9gramscoffee.sk/store-products-sitemap.xml (Wix store sitemap; no true product feed),primary
lighthousecoffee.sk,SK,roaster,Lighthouse Coffee (ex Coffeeport),partially_restricted,shoptet,medium,"22 (""Stránka 1 z 1 - 22 položiek celkom""; 22 data-micro-product-id entries on the page, single page)",none,https://www.lighthousecoffee.sk/cerstvo-prazena-kava-lighthouse/,"none found beyond https://www.lighthousecoffee.sk/sitemap.xml (Shoptet XML feeds live under /export/, which robots disallows — not fetched)",primary
diroastery.sk,SK,roaster,Diamond's Roastery,allowed,woocommerce,high,"~16 coffee products on the single /kategoria-produktu/kava/ page (16 distinct /produkt/ links, no pagination); product-sitemap.xml lists 58 URLs for the whole shop (coffee + chocolate + grinders/accessories)",none,https://diroastery.sk/kategoria-produktu/kava/,https://diroastery.sk/product-sitemap.xml (Yoast product sitemap; no WooCommerce XML/JSON product feed advertised),primary
conceptcoffee.sk,SK,roaster,Concept Coffee Roasters,partially_restricted,shoptet,high,"17 in /espresso/ (""17 položiek celkom"", ""Zobrazených položiek: 17""); a separate /filter/ category exists, so roughly 20-35 coffees shop-wide",none,https://www.conceptcoffee.sk/espresso/ (also /filter/; the hinted /cerstvo-prazena-kava/ returns 404),none found beyond https://www.conceptcoffee.sk/sitemap.xml (Shoptet feeds sit under the disallowed /export/ path — not fetched),primary
black.sk,SK,roaster,Black Coffee Roasters,allowed,custom,high,"~16 coffee SKUs linked from the category page (incl. 3 capsule products); single page, no pagination",none,https://www.black.sk/sk/e-shop/kava,"https://www.black.sk/sitemap.xml (plain URL sitemap, no product-specific feed found)",primary
illimite.sk,SK,roaster,Illimité Coffee Roasters,allowed,woocommerce,high,"~4 coffee products listed on the shop archive (small, rotating lot-based offer); no pagination visible",none,https://illimite.sk/vyberova-kava/ (WooCommerce shop archive; true product category is https://illimite.sk/product-category/zrnkova-vyberova-kava/ per breadcrumb JSON-LD),https://illimite.sk/sitemap_index.xml (contains WooCommerce product sitemap; no separate XML/JSON product feed found),primary
jungleroastery.sk,SK,roaster,Jungle Roastery,partially_restricted,shoptet,high,18 products on the /kava/ category page (18 distinct data-micro-product-id values); single page,none,https://www.jungleroastery.sk/kava/,"https://www.jungleroastery.sk/sitemap.xml (standard Shoptet URL sitemap incl. product URLs). Shoptet XML product feeds live under /action/ or /export/, both robots-disallowed; not probed.",primary
ryeisland.com,SK,roaster,Rye Island Roastery,allowed,custom,high,"~11 coffee products linked from the category page (single page, no pagination)",none,https://ryeisland.com/produkty/kava,https://ryeisland.com/sitemap.xml (URL sitemap; no product XML/JSON feed found). An llms.txt is referenced by robots.txt but was not fetched.,primary
simplecoffee.sk,SK,roaster,Simple Coffee,allowed,woocommerce,medium,29 ('Zobrazuje sa 29 výsledkov' in the woocommerce-result-count element); includes several tasting/sample bundles,none,https://simplecoffee.sk/kategorie/zrnkova-kava/,https://simplecoffee.sk/sitemap_index.xml (includes WooCommerce product sitemap); no separate XML/JSON product feed found,primary
redfawn.sk,SK,roaster,Red Fawn Coffee Roasters,partially_restricted,shoptet,high,"~12 coffees on page 1 of /kava/ with a /kava/strana-2/ link, so roughly 13-24 whole-bean coffees (sub-categories: /espresso/, /filter/, /bezkofeinova-kava/, /cokoladova/, /ovocna/)",none specified,https://www.redfawn.sk/kava/,"https://www.redfawn.sk/sitemap.xml -> https://www.redfawn.sk/sitemaps/sitemap0.xml.gz (gzipped URL sitemap, includes product URLs). No dedicated XML product feed exposed publicly; /export/ (typical Shoptet feed dir) is Disallowed.",primary
goodtimes.coffee,SK,roaster,Good Times Coffee Roasters,allowed,woocommerce,high,"3 coffees listed on /obchod/ (Brazil Doce Diamantina, Daily Espresso Seasonal Blend, Honduras COMSA co-operative); no pagination — very small catalogue",none specified,https://goodtimes.coffee/obchod/,https://goodtimes.coffee/sitemap_index.xml (contains a product sitemap); WooCommerce Store/WP REST API at /wp-json/ is also reachable but was not probed,primary
25coffee.sk,SK,roaster,25COFFEE,allowed,woocommerce,high,"/shop/ shows ""Zobrazuje sa 9 výsledkov"" (9 products, no pagination). Whole-bean sub-categories: /product-category/zrnkova-kava-100-arabica/, /zrnkova-kava-100-robusta/, /zrnkova-bezkofeinova-kava/, /nase-vlastne-zmesi/",none specified,https://www.25coffee.sk/shop/,https://www.25coffee.sk/product-sitemap.xml (declared in robots.txt),primary
readyafter.sk,SK,roaster,Ready After,partially_restricted,shoptet,high,"~42 product tiles rendered on /kava/ (no strana-N pagination link seen on that page); large taxonomy of coffee sub-categories by country, acidity, brewing method (/etiopska-kava/, /brazilska-kava/, /kava-filter/, /kava-na-espresso/, /bezkofeinova-kava/, /bio-kava/ …)",none specified,https://www.readyafter.sk/kava/,https://www.readyafter.sk/sitemap.xml -> https://www.readyafter.sk/sitemaps/sitemap0.xml.gz. No public XML product feed; /export/ is Disallowed.,primary
coffia.eu,SK,roaster,Coffia Specialty Coffee,partially_restricted,shopify,medium,"~12-13 coffee products linked from /collections/vsetky-kavy (plus sub-collections /collections/espresso-kava-1, /filter-kava, /dark-roast, /competition-series, /novinky)",none specified,https://coffia.eu/collections/vsetky-kavy,"https://coffia.eu/sitemap.xml (Shopify sitemap index with sitemap_products_*.xml). Shopify also exposes .json/.js product endpoints by convention, not probed.",primary
